EmpId,FirstName,LastName,JobTitle,BirthDate,MaritalStatus,Gender,SalariedFlag,HireDate,VacationHours,SickLeaveHours
224,William,Vong,Scheduling Assistant,11/6/1981,M,M,0,1/7/2009,45,42
225,Alan,Brewer,Scheduling Assistant,3/29/1984,M,M,0,2/13/2009,47,43
226,Brian,LaMee,Scheduling Assistant,8/11/1984,M,M,0,3/3/2009,48,44
227,Gary,Altman,Facilities Manager,2/18/1971,M,M,1,12/2/2009,86,63
228,Christian,Kleinerman,Maintenance Supervisor,1/18/1976,M,M,1,12/14/2008,92,66
229,Lori,Penor,Janitor,7/31/1970,M,F,0,2/16/2010,90,65
230,Stuart,Macrae,Janitor,12/17/1971,M,M,0,3/5/2010,88,64
231,Jo,Berry,Janitor,4/24/1954,M,F,0,3/7/2010,91,65
232,Pat,Coleman,Janitor,12/3/1970,S,M,0,1/27/2010,89,64
233,Magnus,Hedlund,Facilities Administrative Assistant,8/27/1971,M,M,0,12/21/2009,87,63
234,Laura,Norman,Chief Financial Officer,1/6/1976,M,F,1,1/31/2009,0,20
235,Paula,Barreto de Mattos,Human Resources Manager,2/11/1976,M,F,1,12/6/2008,54,47
236,Grant,Culbertson,Human Resources Administrative Assistant,4/16/1976,S,M,0,2/25/2009,53,46
237,Hao,Chen,Human Resources Administrative Assistant,4/17/1977,S,M,0,2/6/2009,52,46
238,Vidur,Luthra,Recruiter,8/1/1984,S,M,0,1/1/2009,50,45
239,Mindy,Martin,Benefits Specialist,11/20/1984,M,F,0,12/25/2008,51,45
240,Willis,Johnson,Recruiter,7/18/1978,S,M,0,12/13/2008,49,44
241,David,Liu,Accounts Manager,7/8/1983,M,M,1,1/30/2009,57,48
242,Deborah,Poe,Accounts Receivable Specialist,3/6/1976,M,F,0,12/18/2008,60,50
243,Candy,Spoon,Accounts Receivable Specialist,2/23/1976,S,F,0,1/6/2009,61,50
244,Bryan,Walton,Accounts Receivable Specialist,9/20/1984,S,M,0,1/24/2009,62,51
245,Barbara,Moreland,Accountant,1/4/1976,M,F,1,2/18/2009,58,49
246,Dragan,Tomic,Accounts Payable Specialist,2/14/1977,M,M,0,2/11/2009,63,51
247,Janet,Sheperdigian,Accounts Payable Specialist,3/9/1979,M,F,0,3/1/2009,64,52
248,Mike,Seamans,Accountant,7/1/1979,S,M,1,3/8/2009,59,49
249,Wendy,Kahn,Finance Manager,10/11/1984,S,F,1,12/25/2008,55,47
250,Sheela,Word,Purchasing Manager,2/10/1978,S,F,1,2/25/2011,49,44
251,Mikael,Sandberg,Buyer,8/17/1984,S,M,0,2/10/2009,59,49
252,Arvind,Rao,Buyer,8/21/1974,M,M,0,2/28/2009,60,50
253,Linda,Meisner,Buyer,11/30/1970,M,F,0,12/17/2009,56,48
254,Fukiko,Ogisu,Buyer,11/24/1970,M,M,0,1/4/2010,57,48
255,Gordon,Hee,Buyer,11/29/1966,M,M,0,1/11/2010,52,46
256,Frank,Pellow,Buyer,5/12/1952,M,M,0,1/23/2010,58,49
257,Eric,Kurjan,Buyer,9/17/1972,S,M,0,1/27/2010,54,47
258,Erin,Hagens,Buyer,1/4/1971,S,F,0,1/31/2010,53,46
259,Ben,Miller,Buyer,6/3/1973,M,M,0,3/9/2010,55,47
260,Annette,Hill,Purchasing Assistant,1/29/1978,M,F,0,12/6/2010,50,45
261,Reinout,Hillmann,Purchasing Assistant,1/17/1978,M,M,0,12/25/2010,51,45
262,David,Barber,Assistant to the Chief Financial Officer,6/21/1964,S,M,0,1/12/2009,56,48
263,Jean,Trenary,Information Services Manager,12/13/1975,S,F,1,12/11/2008,65,52
264,Stephanie,Conroy,Network Manager,3/25/1984,S,F,1,2/4/2009,68,54
265,Ashvini,Sharma,Network Administrator,3/27/1977,S,M,0,12/4/2008,70,55
266,Peter,Connelly,Network Administrator,5/28/1980,S,M,0,2/23/2009,69,54
267,Karen,Berg,Application Specialist,5/19/1978,S,F,1,2/16/2009,74,57
268,Ramesh,Meyyappan,Application Specialist,3/13/1988,S,M,1,2/3/2009,73,56
269,Dan,Bacon,Application Specialist,5/26/1987,M,M,1,1/11/2009,72,56
270,François,Ajenstat,Database Administrator,5/17/1975,S,M,1,1/17/2009,67,53
271,Dan,Wilson,Database Administrator,1/6/1976,M,M,1,1/22/2009,66,53
272,Janaina,Bueno,Application Specialist,1/30/1985,M,F,1,12/23/2008,71,55
273,Brian,Welcker,Vice President of Sales,6/6/1977,S,M,1,2/15/2011,10,25
274,Stephen,Jiang,North American Sales Manager,10/17/1951,M,M,1,1/4/2011,14,27
275,Michael,Blythe,Sales Representative,12/25/1968,S,M,1,5/31/2011,38,39
276,Linda,Mitchell,Sales Representative,2/27/1980,M,F,1,5/31/2011,27,33
277,Jillian,Carson,Sales Representative,8/29/1962,S,F,1,5/31/2011,24,32
278,Garrett,Vargas,Sales Representative,2/4/1975,M,M,1,5/31/2011,33,36
279,Tsvi,Reiter,Sales Representative,1/18/1974,M,M,1,5/31/2011,29,34
280,Pamela,Ansman-Wolfe,Sales Representative,12/6/1974,S,F,1,5/31/2011,22,31
281,Shu,Ito,Sales Representative,3/9/1968,M,M,1,5/31/2011,26,33
282,José,Saraiva,Sales Representative,12/11/1963,M,M,1,5/31/2011,31,35
283,David,Campbell,Sales Representative,2/11/1974,S,M,1,5/31/2011,23,31
284,Tete,Mensa-Annan,Sales Representative,1/5/1978,M,M,1,9/30/2012,39,39
285,Syed,Abbas,Pacific Sales Manager,1/11/1975,M,M,1,3/14/2013,20,30
286,Lynn,Tsoflias,Sales Representative,2/14/1977,S,F,1,5/30/2013,36,38
287,Amy,Alberts,European Sales Manager,9/20/1957,M,F,1,4/16/2012,21,30
288,Rachel,Valdez,Sales Representative,7/9/1975,S,F,1,5/30/2013,35,37
289,Jae,Pak,Sales Representative,3/17/1968,M,F,1,5/30/2012,37,38
290,Ranjit,Varkey Chudukatil,Sales Representative,9/30/1975,S,M,1,5/30/2012,34,37
